Appartement à vendre,499 000 €9 596 €/m²,3,2,52,6/6,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","IMOSS IMMOBILIER vous présente ce bel appartement de 3/4 pièces, 52m² carrez et 56m² au sol idéalement situé rue Simart à 5 minutes pied du métro Jules Joffrin (ligne 12)et 3 minutes à pied du métro ...",IMOSS
Appartement à vendre,499 000 €9 596 €/m²,3,2,52,6/6,"Clignancourt-Jules Joffrin, Paris 18ème (75018)","IMOSS IMMOBILIER vous présente ce bel appartement de 3/4 pièces, 52m² carrez et 56m² au sol idéalement situé rue Simart à 5 minutes pied du métro Jules Joffrin (ligne 12)et 3 minutes à pied du métro ...",IMOSS
Duplex à vendre,1 050 000 €13 125 €/m²,5,3,80,4/5,"Citroën-Boucicaut, Paris 15ème (75015)","COUP DE CŒUR ABSOLU !! Au coeur du VILLAGE SAINT-CHARLES, le Cabinet BR Immobilier vous propose ce superbe DUPLEX ATELIER D'ARTISTE de 80m2, extrêmement MODULABLE, susceptible d'accueillir une famill...",BR Immobilier
Duplex à vendre,1 050 000 €13 125 €/m²,5,3,80,4/5,"Citroën-Boucicaut, Paris 15ème (75015)","COUP DE CŒUR ABSOLU !! Au coeur du VILLAGE SAINT-CHARLES, le Cabinet BR Immobilier vous propose ce superbe DUPLEX ATELIER D'ARTISTE de 80m2, extrêmement MODULABLE, susceptible d'accueillir une famill...",BR Immobilier
Appartement à vendre,550 000 €6 395 €/m²,3,,86,1/12,"Plaine, Paris 20ème (75020)",COUP DE CŒUR. Métro Porte de Vincennes / Tramway T3A. Au premier Étage d'un immeuble Semi-récent bien entretenu avec GARDIEN. Venez découvrir cet AGRÉABLE 3/4 Pièces de 86 m² TRAVERSANT et en bon éta...,BR Immobilier
Appartement à vendre,550 000 €6 395 €/m²,3,,86,1/12,"Plaine, Paris 20ème (75020)",COUP DE CŒUR. Métro Porte de Vincennes / Tramway T3A. Au premier Étage d'un immeuble Semi-récent bien entretenu avec GARDIEN. Venez découvrir cet AGRÉABLE 3/4 Pièces de 86 m² TRAVERSANT et en bon éta...,BR Immobilier
Appartement à vendre,415 000 €12 576 €/m²,1,,33,,"Sentier-Bonne Nouvelle, Paris 2ème (75002)","Au coeur de Paris, idéalement situé dans le secteur du Sentier rue Mulhouse, Br-Immobilier vous présente ce GRAND STUDIO esprit loft aliant charme et modernité, avec un mur principal en pierre appare...",BR Immobilier
Appartement à vendre,415 000 €12 576 €/m²,1,,33,,"Sentier-Bonne Nouvelle, Paris 2ème (75002)","Au coeur de Paris, idéalement situé dans le secteur du Sentier rue Mulhouse, Br-Immobilier vous présente ce GRAND STUDIO esprit loft aliant charme et modernité, avec un mur principal en pierre appare...",BR Immobilier
Appartement à vendre,290 000 €11 600 €/m²,1,,25,2/9,"Clichy-Trinité, Paris 9ème (75009)","À DEUX PAS DU MOULIN ROUGE et à proximité immédiate de Montmartre - Le Cabinet BR-Immobilier vous présente ce studio parfaitement OPTIMISÉ de 24,41 m2 Carrez situé au deuxime étage avec ascenseur d'u...",BR Immobilier
Appartement à vendre,290 000 €11 600 €/m²,1,,25,2/9,"Clichy-Trinité, Paris 9ème (75009)","À DEUX PAS DU MOULIN ROUGE et à proximité immédiate de Montmartre - Le Cabinet BR-Immobilier vous présente ce studio parfaitement OPTIMISÉ de 24,41 m2 Carrez situé au deuxime étage avec ascenseur d'u...",BR Immobilier
