prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
1 134 000,"155,2",6.0,"Sud-Universités, Aix-en-Provence (13080)",Maison,Bouches-du-Rhône,13
1 134 000,"155,2",6.0,"Sud-Universités, Aix-en-Provence (13080)",Maison,Bouches-du-Rhône,13
1 133 000,1 210  de terrain,7.0,"Plateau de Puyricard-La Trévaresse, Puyricard (13540)",Maison,Bouches-du-Rhône,13
199 000,"44,7",3.0,"Logis Neuf Ouest, Allauch (13190)",Appartement,Bouches-du-Rhône,13
193 999,50,3.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
193 999,50,3.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
180 000,39,1.0,Marseille 15ème Arrondissement (13015),Appartement,Bouches-du-Rhône,13
180 000,39,1.0,Marseille 15ème Arrondissement (13015),Appartement,Bouches-du-Rhône,13
154 000,"39,1",2.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
154 000,"39,1",2.0,"La Rose, Marseille 13ème (13013)",Appartement,Bouches-du-Rhône,13
152 000,42,2.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
152 000,42,2.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Bouches-du-Rhône,13
150 000,40,2.0,Marseille 13ème (13013),Appartement,Bouches-du-Rhône,13
150 000,40,2.0,Marseille 13ème (13013),Appartement,Bouches-du-Rhône,13
110 460,19,1.0,Marseille 13ème (13013),Appartement,Bouches-du-Rhône,13
110 460,19,1.0,Marseille 13ème (13013),Appartement,Bouches-du-Rhône,13
399 000,75,4.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
399 000,75,4.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
339 000,"94,4",5.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
339 000,"94,4",5.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
325 000,60,3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
325 000,60,3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
289 000,"73,4",4.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
289 000,"73,4",4.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
267 000,63,3.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Côte-d'Or,21
267 000,63,3.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Côte-d'Or,21
255 000,"62,6",3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
255 000,"62,6",3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
240 000,60,3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
240 000,60,3.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
221 000,"58,9",3.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
221 000,"58,9",3.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
219 000,59,3.0,"Bel Air, Dijon (21000)",Appartement,Côte-d'Or,21
219 000,59,3.0,"Bel Air, Dijon (21000)",Appartement,Côte-d'Or,21
215 416,"62,7",3.0,"Activités Economiques, Fontaine-Lès-Dijon (21121)",Appartement,Côte-d'Or,21
213 000,60,3.0,"Balzac, Dijon (21000)",Appartement,Côte-d'Or,21
213 000,60,3.0,"Balzac, Dijon (21000)",Appartement,Côte-d'Or,21
204 000,"62,3",3.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
204 000,"62,3",3.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
199 000,43,2.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Côte-d'Or,21
199 000,43,2.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Côte-d'Or,21
191 000,"61,4",3.0,Plombieres-les-Dijon (21370),Appartement,Côte-d'Or,21
180 000,40,2.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
180 000,40,2.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
179 000,40,2.0,"Balzac, Dijon (21000)",Appartement,Côte-d'Or,21
179 000,40,2.0,"Balzac, Dijon (21000)",Appartement,Côte-d'Or,21
178 500,43,2.0,"Bel Air, Dijon (21000)",Appartement,Côte-d'Or,21
178 500,43,2.0,"Bel Air, Dijon (21000)",Appartement,Côte-d'Or,21
159 500,"43,3",2.0,"Carrousel, Dijon (21000)",Appartement,Côte-d'Or,21
159 500,"43,3",2.0,"Carrousel, Dijon (21000)",Appartement,Côte-d'Or,21
159 000,45,2.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
159 000,45,2.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
151 000,"35,3",2.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
151 000,"35,3",2.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
149 000,79,3.0,"Toison d'Or-Zone Industrielle, Dijon (21000)",Appartement,Côte-d'Or,21
149 000,79,3.0,"Toison d'Or-Zone Industrielle, Dijon (21000)",Appartement,Côte-d'Or,21
139 000,38,2.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
139 000,38,2.0,"Arsenal, Dijon (21000)",Appartement,Côte-d'Or,21
139 000,25,1.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
139 000,25,1.0,"Fauconnet, Dijon (21000)",Appartement,Côte-d'Or,21
138 500,"19,8",1.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
