latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
43.5652405,1.4728899,160000,40.0,2.0,Appartement,31400,31,Toulouse
43.6391219,1.4486548,155000,66.0,3.0,Appartement,31200,31,Toulouse
43.6044303,1.4391951,153500,23.0,1.0,Appartement,31000,31,Toulouse
43.6391219,1.4486548,145600,22.0,2.0,Appartement,31200,31,Toulouse
43.6044303,1.4391951,109000,16.0,1.0,Appartement,31000,31,Toulouse
44.8391049,-0.5814266,790000,92.0,3.0,Appartement,33000,33,Bordeaux
44.8538685,-0.6165877,720000,135.0,5.0,Maison,33200,33,Bordeaux
44.8391049,-0.5814266,650000,132.0,6.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,499900,71.0,3.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,495000,84.0,4.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,483000,89.0,5.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,449000,106.0,4.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,380000,76.0,4.0,Appartement,33000,33,Bordeaux
44.8240407,-0.558956,323533,83.0,4.0,Appartement,33800,33,Bordeaux
44.8391049,-0.5814266,322000,87.0,3.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,319000,67.0,3.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,269900,50.0,2.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,268000,38.0,2.0,Appartement,33000,33,Bordeaux
44.8456834,-0.553098,265000,50.0,2.0,Appartement,33100,33,Bordeaux
44.8829908,-0.5568152,262800,42.0,2.0,Appartement,33300,33,Bordeaux
44.8240407,-0.558956,258123,67.0,3.0,Appartement,33800,33,Bordeaux
44.8538685,-0.6165877,217900,48.0,2.0,Appartement,33200,33,Bordeaux
44.8240407,-0.558956,217418,51.0,2.0,Appartement,33800,33,Bordeaux
44.8391049,-0.5814266,202000,26.0,1.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,200000,34.0,2.0,Appartement,33000,33,Bordeaux
44.8391049,-0.5814266,1365000,216.0,5.0,Maison,33000,33,Bordeaux
44.8829908,-0.5568152,155000,25.0,1.0,Appartement,33300,33,Bordeaux
44.8391049,-0.5814266,140000,25.0,1.0,Appartement,33000,33,Bordeaux
44.8538685,-0.6165877,120589,17.6,1.0,Appartement,33200,33,Bordeaux
43.6147233,3.879268,850000,109.1,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,665000,97.0,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,590000,95.0,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,575000,63.0,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,475000,85.0,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,460000,73.4,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,435800,93.4,5.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,395000,47.0,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,340000,65.1,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,339000,62.0,3.0,Appartement,34000,34,Montpellier
